model,category,acc
LLaVA-1.5,Component Count,0.06160474511439255
LLaVA-1.5,Component Type,0.1761391164950681
LLaVA-1.5,Defect Detection,0.09361901563927305
LLaVA-1.5,Mount Side,0.7996696016915396
LLaVA-1.5,Pin Count,0.5421959577424008
LLaVA-1.6,Component Count,0.061317938510426453
LLaVA-1.6,Component Type,0.07186227159316223
LLaVA-1.6,Defect Detection,0.05593874210252967
LLaVA-1.6,Mount Side,0.8090380381046884
LLaVA-1.6,Pin Count,0.2570703642134622
Qwen3-VL-8B,Component Count,0.1629944133523855
Qwen3-VL-8B,Component Type,0.30223143492685456
Qwen3-VL-8B,Defect Detection,0.5810878661087866
Qwen3-VL-8B,Mount Side,0.7624351464435146
Qwen3-VL-8B,Pin Count,0.0783347280334728
